Year,Event Date,Artist,Venue,City
2019,31-12-2019,404,Windmill Brixton,London
2019,31-12-2019,Backwoods Creek,Under the Bridge,London
2019,31-12-2019,Craig David,Central Hall Westminster,London
2019,31-12-2019,The Golden Dregs,The Social,London
2019,31-12-2019,Drahla,The Social,London
2019,31-12-2019,Jane Birkin,Decimo,London
2019,31-12-2019,Ese & The Vooduu People,The Troubadour,London
2019,30-12-2019,Spang Sisters,Windmill Brixton,London
2019,30-12-2019,Blossoms,Top of the Pops,London
2019,28-12-2019,DJ Zinc,XOYO,London
2019,28-12-2019,The Fallen Women,The Lexington,London
2019,28-12-2019,DJ Die,XOYO,London
2019,28-12-2019,Jumping Jack Frost,XOYO,London
2019,28-12-2019,Dillinja,XOYO,London
2019,28-12-2019,Bryan Gee,XOYO,London
2019,28-12-2019,Corduroy,100 Club,London
2019,28-12-2019,Dub Phizix & Strategy,XOYO,London
2019,27-12-2019,Danny Toeman,Hootananny,London
2019,27-12-2019,Corduroy,100 Club,London
2019,27-12-2019,The Correspondents,The Old Queens Head,London
2019,27-12-2019,London Concert Orchestra,Barbican Hall,London
2019,25-12-2019,Kylie Minogue,Rivoli Ballroom,London
2019,23-12-2019,Cheriton,Coate Studios,London
2019,23-12-2019,Laurie Bolger,Coate Studios,London
2019,23-12-2019,Isabelle Faust,Wigmore Hall,London
2019,23-12-2019,Leon Jacques,Coate Studios,London
2019,22-12-2019,The K’s,Amersham Arms,London
2019,22-12-2019,Serena Ryder,London Music Hall,London
2019,22-12-2019,Mark Morriss,Proud Embankment,London
2019,22-12-2019,Ralph McTell,The Half Moon,London
2019,21-12-2019,Steve Norman,Pizza Express High Holborn,London
2019,21-12-2019,Alter Bridge,The O2 Arena,London
2019,21-12-2019,Shinedown,The O2 Arena,London
2019,21-12-2019,Steve Harley & Cockney Rebel,Nell's Jazz and Blues,London
2019,21-12-2019,She Makes War,Kings Place Hall Two,London
2019,21-12-2019,Grimmates,Luna Lounge,Leytonstone
2019,21-12-2019,The Bluetones,The Water Rats,London
2019,21-12-2019,Nervus,Pioneer,St Albans
2019,21-12-2019,Spizzenergi,Amersham Arms,London
2019,21-12-2019,Infa Riot,100 Club,London
2019,21-12-2019,Alabama 3,O2 Academy Brixton,London
2019,21-12-2019,Blood Youth,Roundhouse,London
2019,21-12-2019,The Business,100 Club,London
2019,21-12-2019,Bury Tomorrow,Roundhouse,London
2019,21-12-2019,Trash Boat,Pioneer,St Albans
2019,21-12-2019,Adam Kay,Central Hall Westminster,London
2019,21-12-2019,Codename Colin,New Cross Inn,London
2019,21-12-2019,Employed to Serve,Roundhouse,London
2019,21-12-2019,Dexy,Paper Dress Vintage,Hackney
2019,21-12-2019,Tranquil Dirtbags,The Telegraph,New London
2019,21-12-2019,Silent Star,Paper Dress Vintage,Hackney
2019,21-12-2019,Shit and Shine,Cafe OTO,London
2019,21-12-2019,Steve Horry,Paper Dress Vintage,Hackney
2019,21-12-2019,The Spitfires,229 The Venue,London
2019,21-12-2019,Numenorean,Boston Music Room,London
2019,21-12-2019,Withered Hand,The Shacklewell Arms,London
2019,21-12-2019,Keith Top of the Pops & His Minor UK Indie Celebrity All-Star Backing Band,Paper Dress Vintage,Hackney
2019,21-12-2019,Alice Hubble,The Lexington,London
2019,21-12-2019,Collapsed Lung,The Sebright Arms,London
2019,21-12-2019,The Raven Age,The O2 Arena,London
2019,20-12-2019,Hellripper,Electric Ballroom,London
2019,20-12-2019,Tujamo,Ministry of Sound,London
2019,20-12-2019,beabadoobee,The Dome,London
2019,20-12-2019,No Rome,The Dome,London
2019,20-12-2019,The Darkness,Roundhouse,London
2019,20-12-2019,King Violet,Ye Olde Fighting Cocks,St Albans
2019,20-12-2019,Voodoo Six,O2 Academy Islington,London
2019,20-12-2019,Imperial Leisure,O2 Academy 2 Islington,London
2019,20-12-2019,Janet Kay,229 The Venue,London
2019,20-12-2019,British Lion,O2 Academy Islington,London
2019,20-12-2019,Rod Stewart,The O2 Arena,London
2019,20-12-2019,Jamie xx,The Cause,London
2019,20-12-2019,Slade,Student Central,London
2019,20-12-2019,Grace Potter,Royal Albert Hall,London
2019,20-12-2019,Four Tet,The Cause,London
2019,20-12-2019,Arin Ray,Electric Ballroom,London
2019,20-12-2019,Steve Norman,Pizza Express High Holborn,London
2019,20-12-2019,Karl Phillips & The Rejects,O2 Academy 2 Islington,London
2019,20-12-2019,REWS,Roundhouse,London
2019,20-12-2019,Discharge,Electric Ballroom,London
2019,20-12-2019,Orange Goblin,Electric Ballroom,London
2019,20-12-2019,Johnny Mac,The O2 Arena,London
2019,19-12-2019,"black midi, New Road",Windmill Brixton,London
2019,19-12-2019,Dr. Alban,"The SSE Arena, Wembley",London
2019,19-12-2019,La Bouche,"The SSE Arena, Wembley",London
2019,19-12-2019,Cappella,"The SSE Arena, Wembley",London
2019,19-12-2019,Robin S,"The SSE Arena, Wembley",London
2019,19-12-2019,The Freewheelin' Troubadour,O2 Academy Brixton,London
2019,19-12-2019,Luke Askew,O2 Academy 2 Islington,London
2019,19-12-2019,2 Unlimited,"The SSE Arena, Wembley",London
2019,19-12-2019,Snap!,"The SSE Arena, Wembley",London
2019,19-12-2019,C+C Music Factory,"The SSE Arena, Wembley",London
2019,19-12-2019,My Life Story,The North London Tavern,London
2019,19-12-2019,The Rifles,Boogaloo,London
2019,19-12-2019,Whigfield,"The SSE Arena, Wembley",London
2019,19-12-2019,Sash!,"The SSE Arena, Wembley",London
2019,19-12-2019,Luke Wright,O2 Academy Brixton,London
2019,19-12-2019,Ed Cosens,O2 Academy Brixton,London
2019,19-12-2019,Vengaboys,"The SSE Arena, Wembley",London
2019,19-12-2019,Haddaway,"The SSE Arena, Wembley",London
2019,19-12-2019,Culture Beat,"The SSE Arena, Wembley",London
2019,19-12-2019,Rednex,"The SSE Arena, Wembley",London
2019,19-12-2019,Alice DeeJay,"The SSE Arena, Wembley",London
2019,19-12-2019,At the Gates,The Underworld,London
2019,19-12-2019,Ronnie Spector,O2 Shepherd's Bush Empire,London
2019,19-12-2019,whenyoung,O2 Academy Brixton,London
2019,19-12-2019,Ciyo Brown,Hideaway,Streatham
2019,19-12-2019,TRAMPOLENE,O2 Academy Brixton,London
2019,19-12-2019,The Libertines,O2 Academy Brixton,London
2019,19-12-2019,Hobo Johnson,Roundhouse,London
2019,19-12-2019,75 Dollar Bill,Cafe OTO,London
2019,19-12-2019,Rod Stewart,The O2 Arena,London
2019,19-12-2019,Deserted Fear,The Underworld,London
2019,19-12-2019,The Guest,Windmill Brixton,London
2019,19-12-2019,Conan,The Black Heart,London
2019,19-12-2019,Seán McGowan,The Islington,London
2019,19-12-2019,Luke Haines,Paper Dress Vintage,Hackney
2019,19-12-2019,Nifelheim,The Underworld,London
2019,19-12-2019,Harry Styles,Electric Ballroom,London
2019,18-12-2019,Self Esteem,Laylow,London
2019,18-12-2019,Novatines,Islington Assembly Hall,London
2019,18-12-2019,Luke Wright,O2 Academy Brixton,London
2019,18-12-2019,Kamchatka,Roundhouse,London
2019,18-12-2019,The Libertines,O2 Academy Brixton,London
2019,18-12-2019,Chantal Kreviazuk,Aeolian Hall,London
2019,18-12-2019,Steve Mason,MOTH Club,London
2019,18-12-2019,Arin Ray,Electric Ballroom,London
2019,18-12-2019,Jenny Berggren,"The SSE Arena, Wembley",London
2019,18-12-2019,Graveyard,Roundhouse,London
2019,18-12-2019,Grand Slam,The Dome,London
2019,18-12-2019,Sweet,Islington Assembly Hall,London
2019,18-12-2019,Andy Scott’s Sweet,Islington Assembly Hall,London
2019,18-12-2019,Tellison,Signature Brew Haggerston,London
2019,18-12-2019,Life of Agony,Rum Runners,London
2019,18-12-2019,808 State,Rough Trade East,London
2019,18-12-2019,Clutch,Roundhouse,London
2019,18-12-2019,Stormzy,The One Show,London
2019,18-12-2019,Harry Styles,BBC Radio 1's Live Lounge,London
2019,18-12-2019,The Rifles,Boogaloo,London
2019,18-12-2019,THE BOYZ,O2 Forum Kentish Town,London
2019,18-12-2019,boy pablo,Electric Brixton,London
2019,18-12-2019,Hamish Stuart,606 Club Chelsea,London
2019,18-12-2019,Lady Bird,The Horn,St Albans
2019,17-12-2019,Vetiver,O2 Academy 2 Islington,London
2019,17-12-2019,Chantal Kreviazuk,Aeolian Hall,London
2019,17-12-2019,Robbie Williams,"The SSE Arena, Wembley",London
2019,17-12-2019,DZ Deathrays,Rum Runners,London
2019,17-12-2019,Fake Laugh,Electric Brixton,London
2019,17-12-2019,Ute Lemper,Fishmongers' Hall,London
2019,17-12-2019,Hockey Dad,Rum Runners,London
2019,17-12-2019,Rod Stewart,The O2 Arena,London
2019,17-12-2019,The Slow Readers Club,The Dome,London
2019,17-12-2019,Strawbs,Barbican Hall,London
2019,17-12-2019,Steeleye Span,Barbican Hall,London
2019,17-12-2019,CHILDCARE,Scala,London
2019,17-12-2019,The Japanese House,Electric Brixton,London
2019,17-12-2019,Johnny Mac,The O2 Arena,London
2019,17-12-2019,Treetop Flyers,O2 Academy 2 Islington,London
2019,17-12-2019,Arin Ray,Electric Ballroom,London
2019,17-12-2019,Zero 7,Platoon Studio,London
2019,17-12-2019,Madness,Roundhouse,London
2019,17-12-2019,Sinéad Harnett,O2 Shepherd's Bush Empire,London
2019,17-12-2019,caroline,New River Studios,London
2019,16-12-2019,Sinéad O’Connor,O2 Shepherd's Bush Empire,London
2019,16-12-2019,Mark Lanegan,Marc Riley BBC6 Music Session,London
2019,16-12-2019,Hand Of Dimes,The Garage,London
2019,16-12-2019,Kim Wilde,Pizza Express Live,London
2019,16-12-2019,Aitch,O2 Forum Kentish Town,London
2019,16-12-2019,Robbie Williams,"The SSE Arena, Wembley",London
2019,16-12-2019,Cats in Space,The Garage,London
2019,16-12-2019,Madness,Roundhouse,London
2019,16-12-2019,Beige Palace,Electric Ballroom,London
2019,16-12-2019,Charlotte,The Islington,London
2019,16-12-2019,The Tiger Lillies,London Coliseum,London
2019,16-12-2019,Leona Lewis,The Islington,London
2019,16-12-2019,OUTLYA,The Lexington,London
2019,16-12-2019,Shellac,Electric Ballroom,London
2019,16-12-2019,Bear’s Den,St Pancras Parish Church,London
2019,15-12-2019,Madness,Roundhouse,London
2019,15-12-2019,Jimmy Carr,indigo at The O2,London
2019,15-12-2019,The Mighty Handful,One Kew Road,Richmond upon Thames
2019,15-12-2019,Firestations,The Lexington,London
2019,15-12-2019,Clémentine March,The Lexington,London
2019,15-12-2019,O'Hooley & Tidow,Bush Hall,London
2019,15-12-2019,Brennan Savage,The Underworld,London
2019,15-12-2019,Savage Mansion,The Lexington,London
2019,15-12-2019,Callum Easter,The Lexington,London
2019,15-12-2019,The Pictish Trail,The Lexington,London
2019,15-12-2019,Vinnie Caruana,Banquet Records,Kingston upon Thames
2019,15-12-2019,Vinnie Caruana,The Black Heart,London
2019,15-12-2019,Drippin’ So Pretty,The Underworld,London
2019,15-12-2019,Peter Evans,"Ambika P3, University of Westminster",London
2019,15-12-2019,ChameleonsVox,229 The Venue,London
2019,15-12-2019,Little Simz,O2 Forum Kentish Town,London
2019,15-12-2019,Cascada,Heaven,London
2019,15-12-2019,Axel Flóvent,Islington Assembly Hall,London
2019,15-12-2019,The Paper Kites,Islington Assembly Hall,London
2019,14-12-2019,Mamas Gun,Oslo Hackney,Hackney
2019,14-12-2019,Nick Parker,The Garage,London
2019,14-12-2019,Nordic Giants,Village Underground,London
2019,14-12-2019,Damon Albarn,Leyton Sports Ground,London
2019,14-12-2019,Crocodylus,O2 Forum Kentish Town,London
2019,14-12-2019,Amanda Palmer,Union Chapel,London
2019,14-12-2019,Frank Carter & the Rattlesnakes,Metropolis Studios,London
2019,14-12-2019,Skinny Lister,The Garage,London
2019,14-12-2019,Jo Quail,Village Underground,London
2019,14-12-2019,Alcest,Barbican Hall,London
2019,14-12-2019,Vanishing Twin,Studio 9294,London
2019,14-12-2019,Shed Seven,O2 Academy Brixton,London
2019,14-12-2019,Bad//Dreems,O2 Forum Kentish Town,London
2019,14-12-2019,Cockney Rejects,O2 Academy Islington,London
2019,14-12-2019,A.A. Williams,Village Underground,London
2019,14-12-2019,MONO,Barbican Hall,London
2019,14-12-2019,Stone Thieves,The Horn,St Albans
2019,14-12-2019,Dax,765 Old East,London
2019,14-12-2019,Easymess,"St John the Baptist, Hoxton",London
2019,14-12-2019,Codename Colin,The Raven Tower Bridge,London
2019,14-12-2019,The Twang,O2 Academy Brixton,London
2019,14-12-2019,Akkadian,The Underworld,London
2019,14-12-2019,Razorlight,Electric Brixton,London
2019,14-12-2019,PET NEEDS,The Monarch,London
2019,14-12-2019,Rosie Hopkins,"St John the Baptist, Hoxton",London
2019,14-12-2019,Lambrini Girls,The Engine Rooms,London
2019,14-12-2019,Flying Colors,O2 Shepherd's Bush Empire,London
2019,14-12-2019,Ichiko Aoba,The George Tavern,London
2019,14-12-2019,"Pete Tong, The Heritage Orchestra & Jules Buckley",The O2 Arena,London
2019,14-12-2019,Charlotte de Witte,Fabric,London
2019,14-12-2019,Taylor Swift,BBC Elstree Centre,Borehamwood
2019,14-12-2019,The Chats,O2 Forum Kentish Town,London
2019,14-12-2019,Dilemma,O2 Shepherd's Bush Empire,London
2019,14-12-2019,Lulu,ExCel,London
2019,14-12-2019,Man the Lifeboats,The Garage,London
2019,14-12-2019,Mary Spender,229 The Venue,London
2019,14-12-2019,O.S.T.R.,Gracepoint UK,London
2019,14-12-2019,Floating Spectrum,Village Underground,London
2019,13-12-2019,Broken Witt Rebels,Boston Music Room,London
2019,13-12-2019,Shed Seven,O2 Academy Brixton,London
2019,13-12-2019,Sting,Royal Albert Hall,London
2019,13-12-2019,Raphael Saadiq,Royal Albert Hall,London
2019,13-12-2019,Foxcunt,The Finsbury,London
2019,13-12-2019,The Faim,Electric Ballroom,London
2019,13-12-2019,Cemetery Sun,Electric Ballroom,London
2019,13-12-2019,M.O.D.,New Cross Inn,London
2019,13-12-2019,Svalbard,Oval Space,London
2019,13-12-2019,Amanda Palmer,Union Chapel,London
2019,13-12-2019,Hot Milk,Electric Ballroom,London
2019,13-12-2019,Ra Ra Riot,Oslo Hackney,Hackney
2019,13-12-2019,Roy Carter,The Summerfield,London
2019,13-12-2019,Toyah,"The SSE Arena, Wembley",London
2019,13-12-2019,Annabella's Bow Wow Wow,"The SSE Arena, Wembley",London
2019,13-12-2019,Jimmy Somerville,"The SSE Arena, Wembley",London
2019,13-12-2019,envy,Oval Space,London
2019,13-12-2019,The Raven Age,The Dome,London
2019,13-12-2019,Altered Images,"The SSE Arena, Wembley",London
2019,13-12-2019,Doctor and the Medics,"The SSE Arena, Wembley",London
2019,13-12-2019,"Pete Tong, The Heritage Orchestra & Jules Buckley",The O2 Arena,London
2019,13-12-2019,TheCityIsOurs,The Dome,London
2019,13-12-2019,Boney M.,"The SSE Arena, Wembley",London
2019,13-12-2019,Then Jerico,"The SSE Arena, Wembley",London
2019,13-12-2019,Tony Hadley,"The SSE Arena, Wembley",London
2019,13-12-2019,Boris,Oval Space,London
2019,13-12-2019,Stormzy,Royal Albert Hall,London
2019,13-12-2019,Nik Kershaw,"The SSE Arena, Wembley",London
2019,13-12-2019,Marc Almond,"The SSE Arena, Wembley",London
2019,13-12-2019,Peter Coyle,"The SSE Arena, Wembley",London
2019,13-12-2019,Sonia,"The SSE Arena, Wembley",London
2019,13-12-2019,Årabrot,Oval Space,London
2019,13-12-2019,The Twang,O2 Academy Brixton,London
2019,13-12-2019,Elvana,O2 Forum Kentish Town,London
2019,13-12-2019,The Virginmarys,The Islington,London
2019,13-12-2019,Jennifer Hudson,Royal Albert Hall,London
2019,13-12-2019,H.E.R.,Royal Albert Hall,London
2019,13-12-2019,Jim Bob,O2 Shepherd's Bush Empire,London
2019,13-12-2019,Critical,765 Old East,London
2019,13-12-2019,Gauss Gun,The Fiddler's Elbow,London
2019,13-12-2019,Against the Current,Islington Assembly Hall,London
2019,13-12-2019,Beyond Creation,Call the Office,London
2019,13-12-2019,LibraLibra,The Finsbury,London
2019,13-12-2019,Dollie Demi,The Finsbury,London
2019,13-12-2019,The Wonder Stuff,O2 Shepherd's Bush Empire,London
2019,13-12-2019,Ralph McTell,Royal Festival Hall,London
2019,13-12-2019,Screaming Toenail,The Finsbury,London
2019,13-12-2019,The Midnight Beast,229 The Venue,London
2019,13-12-2019,Haggard Cat,The Islington,London
2019,13-12-2019,John Legend,Royal Albert Hall,London
2019,13-12-2019,Ferry Corsten,Ministry of Sound,London
2019,12-12-2019,Haken,Roundhouse,London
2019,12-12-2019,Ashnikko,The Glove That Fits,London
2019,12-12-2019,Snow Patrol,PRYZM,Kingston upon Thames
2019,12-12-2019,Snow Patrol,PRYZM,Kingston upon Thames
2019,12-12-2019,Skold,O2 Forum Kentish Town,London
2019,12-12-2019,Beyond Grace,Nambucca,London
2019,12-12-2019,Hot Snakes,The Garage,London
2019,12-12-2019,Fun Lovin’ Criminals,indigo at The O2,London
2019,12-12-2019,Kai Whiston,The Waiting Room,London
2019,12-12-2019,Coldplay,The Graham Norton Show,London
2019,12-12-2019,Glam Skanks,O2 Academy Brixton,London
2019,12-12-2019,Motionless in White,O2 Forum Kentish Town,London
2019,12-12-2019,BABii,The Waiting Room,London
2019,12-12-2019,The Vamps,229 The Venue,London
2019,12-12-2019,Taake,The Underworld,London
2019,12-12-2019,Snow Patrol,PRYZM,Kingston upon Thames
2019,12-12-2019,Iglooghost,The Waiting Room,London
2019,12-12-2019,Press to MECO,Scala,London
2019,12-12-2019,Björn Again,O2 Shepherd's Bush Empire,London
2019,12-12-2019,Against the Current,Islington Assembly Hall,London
2019,12-12-2019,Adam Ant,O2 Academy Brixton,London
2019,12-12-2019,The Blow Monkeys,O2 Academy Brixton,London
2019,12-12-2019,BBMak,O2 Academy Islington,London
2019,12-12-2019,Holly Golightly,The Lexington,London
2019,12-12-2019,Cavetown,Electric Ballroom,London
2019,12-12-2019,The Telescopes,The Shacklewell Arms,London
2019,12-12-2019,Acres,Scala,London
2019,12-12-2019,guccihighwaters,Islington Assembly Hall,London
2019,12-12-2019,The Gift,The Hope and Anchor,London
2019,12-12-2019,The Far Meadow,The Hope and Anchor,London
2019,12-12-2019,Cara Dillon,Union Chapel,London
2019,12-12-2019,Devin Townsend,Roundhouse,London
2019,12-12-2019,Defying Decay,O2 Forum Kentish Town,London
2019,12-12-2019,Holding Absence,Scala,London
2019,12-12-2019,Bremer/McCoy,Servant Jazz Quarters,London
2019,11-12-2019,Healing Magic,O2 Forum Kentish Town,London
2019,11-12-2019,The Snakeoil Rattlers,The Hope and Anchor,London
2019,11-12-2019,PVA,Subterania,London
2019,11-12-2019,Big Spring,Scala,London
2019,11-12-2019,Dinosaur Pile‐Up,Scala,London
2019,11-12-2019,Lauran Hibberd,The Social,London
2019,11-12-2019,City of the Sun,Nell's Jazz and Blues,London
2019,11-12-2019,Honeyglaze,Windmill Brixton,London
2019,11-12-2019,Remo Drive,The Garage,London
2019,11-12-2019,Edge of Paradise,Electric Ballroom,London
2019,11-12-2019,Temple Balls,Electric Ballroom,London
2019,11-12-2019,Sonata Arctica,Electric Ballroom,London
2019,11-12-2019,Born of Osiris,Rum Runners,London
2019,11-12-2019,Dan Reed Network,O2 Shepherd's Bush Empire,London
2019,11-12-2019,Max & Iggor Cavalera,O2 Forum Kentish Town,London
2019,11-12-2019,A Certain Ratio,Subterania,London
2019,11-12-2019,David Devant and His Spirit Wife,The Water Rats,London
2019,11-12-2019,The Last Ten Seconds of Life,Rum Runners,London
2019,11-12-2019,FM,O2 Shepherd's Bush Empire,London
2019,11-12-2019,HeKz,"The Cavern Freehouse, Raynes Park",London
2019,11-12-2019,Oceano,Rum Runners,London
2019,11-12-2019,GUN,O2 Shepherd's Bush Empire,London
2019,11-12-2019,Conan,O2 Forum Kentish Town,London
2019,10-12-2019,Inhaler,The Garage,London
2019,10-12-2019,Kate Rusby,Royal Festival Hall,London
2019,10-12-2019,Skillet,O2 Shepherd's Bush Empire,London
2019,10-12-2019,Dødheimsgard,Underground,London
2019,10-12-2019,Nina Nesbitt,Electric Ballroom,London
2019,10-12-2019,Liam Payne,PRYZM,Kingston upon Thames
2019,10-12-2019,AJR,O2 Forum Kentish Town,London
2019,10-12-2019,Alfie Templeman,The Garage,London
2019,10-12-2019,AVAWAVES,MOTH Club,London
2019,10-12-2019,Charlotte,Scala,London
2019,10-12-2019,Hiss Golden Messenger,Village Underground,London
2019,10-12-2019,Marcus Bonfanti,Basement @Green Note,London
2019,10-12-2019,Dennis Lloyd,Scala,London
2019,10-12-2019,Sam Fender,O2 Academy Brixton,London
2019,10-12-2019,Bølzer,The Underworld,London
2019,10-12-2019,Julia Fordham,Pizza Express High Holborn,London
2019,10-12-2019,Michael Bublé,The O2 Arena,London
2019,10-12-2019,Mark Lanegan,Roundhouse,London
2019,10-12-2019,LOOK MUM NO COMPUTER,The Social,London
2019,10-12-2019,James Gillespie,Rough Trade West,London
2019,10-12-2019,Brooke Bentham,O2 Academy Brixton,London
2019,10-12-2019,The Membranes,Roundhouse,London
2019,10-12-2019,Nadine Shah,Roundhouse,London
2019,10-12-2019,FLAWES,O2 Forum Kentish Town,London
2019,09-12-2019,Naaz,O2 Shepherd's Bush Empire,London
2019,09-12-2019,Jorja Smith,Union Chapel,London
2019,09-12-2019,Mychelle,Union Chapel,London
2019,09-12-2019,Jax Jones,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Maverick Sabre,Union Chapel,London
2019,09-12-2019,AJ Tracey,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Sigala,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Luke Askew,New Cross Inn,London
2019,09-12-2019,Melanie Martinez,O2 Shepherd's Bush Empire,London
2019,09-12-2019,Freya Ridings,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Freya Ridings,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Fickle Friends,Omeara,London
2019,09-12-2019,Jimothy Lacoste,MOTH Club,London
2019,09-12-2019,The Comet Is Coming,Rough Trade East,London
2019,09-12-2019,Mabel,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Sea Power,The Lexington,London
2019,09-12-2019,Lewis Capaldi,BBC Elstree Centre,Borehamwood
2019,09-12-2019,The Script,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Tom Walker,BBC Elstree Centre,Borehamwood
2019,09-12-2019,Ride,Barbican Hall,London
2019,09-12-2019,Michael Bublé,The O2 Arena,London
2019,09-12-2019,Pêtr Aleksänder,Barbican Hall,London
2019,09-12-2019,L’Épée,EartH,Hackney
2019,09-12-2019,Julia Fordham,Pizza Express High Holborn,London
2019,09-12-2019,Amy & The Calamities,Hard Rock Cafe,London
2019,09-12-2019,Judie Tzuke,Pizza Express High Holborn,London
2019,09-12-2019,Dido,Maida Vale Studios,London
2019,09-12-2019,Nicole Scherzinger,Boulevard Theatre,London
2019,08-12-2019,BBC Concert Orchestra,Royal Albert Hall,London
2019,08-12-2019,Bloody Hawk,Boston Music Room,London
2019,08-12-2019,The Flower Kings,Scala,London
2019,08-12-2019,Lancey Foux,O2 Academy Islington,London
2019,08-12-2019,iamthemorning,Scala,London
2019,08-12-2019,JOHN,MOTH Club,London
2019,08-12-2019,Joy Ring,Scala,London
2019,08-12-2019,Anni B. Sweet,O2 Shepherd's Bush Empire,London
2019,08-12-2019,Ramin Karimloo,The Other Palace Theatre,London
2019,08-12-2019,Rikard Sjöblom,Scala,London
2019,08-12-2019,METZ,MOTH Club,London
2019,08-12-2019,The Royal Philharmonic Concert Orchestra,Royal Albert Hall,London
2019,08-12-2019,Toxic Holocaust,ULU,London
2019,08-12-2019,Nicole Scherzinger,Boulevard Theatre,London
2019,08-12-2019,Freya Ridings,Riverside Studios,London
2019,08-12-2019,A New Tomorrow,The Hope and Anchor,London
2019,08-12-2019,Jun Senoue,The Garage,London
2019,08-12-2019,Municipal Waste,ULU,London
2019,08-12-2019,Skeletal Remains,ULU,London
2019,08-12-2019,Aitch,Riverside Studios,London
2019,08-12-2019,Dido,Eventim Apollo,London
2019,08-12-2019,Enforcer,ULU,London
2019,08-12-2019,Nerina Pallot,"The Blues Kitchen, Camden",London
2019,08-12-2019,Mabel,Riverside Studios,London
2019,08-12-2019,Marvin Humes,The O2 Arena,London
2019,08-12-2019,Hayley May,The O2 Arena,London
2019,08-12-2019,Temples,O2 Shepherd's Bush Empire,London
2019,08-12-2019,Liam Payne,Riverside Studios,London
2019,08-12-2019,Frank Carter & the Rattlesnakes,Blondie's Bar,London
2019,08-12-2019,RANI,The O2 Arena,London
2019,08-12-2019,Taylor Swift,The O2 Arena,London
2019,08-12-2019,Sam Smith,The O2 Arena,London
2019,08-12-2019,Tom Walker,The O2 Arena,London
2019,08-12-2019,Joel Corry,The O2 Arena,London
2019,08-12-2019,Niall Horan,Strictly Come Dancing,London
2019,08-12-2019,The Vanity Project,The bill murray,London
2019,08-12-2019,Anne-Marie,The O2 Arena,London
2019,08-12-2019,Mabel,The O2 Arena,London
2019,08-12-2019,Sigala,The O2 Arena,London
2019,08-12-2019,Julia Fordham,Chickenshed Theatre,London
2019,08-12-2019,Ella Eyre,The O2 Arena,London
2019,08-12-2019,The Briefs,The Lexington,London
2019,08-12-2019,AJ Tracey,The O2 Arena,London
2019,08-12-2019,The Script,The O2 Arena,London
2019,08-12-2019,Sam Feldt,The O2 Arena,London
2019,08-12-2019,Judie Tzuke,Chickenshed Theatre,London
2019,08-12-2019,Becky Hill,The O2 Arena,London
2019,08-12-2019,Ella Henderson,The O2 Arena,London
2019,08-12-2019,Hannah Paris,The Water Rats,London
2019,07-12-2019,White Lies,O2 Academy Brixton,London
2019,07-12-2019,Morcheeba,EartH,Hackney
2019,07-12-2019,Fabio,FOLD,London
2019,07-12-2019,Fenyő Miklós,Club Kolis,London
2019,07-12-2019,E-L-R,Nambucca,London
2019,07-12-2019,Bexatron,The Monarch,London
2019,07-12-2019,Neon Waltz,The Shacklewell Arms,London
2019,07-12-2019,Hot Tuna,Garde Arts Center,New London
2019,07-12-2019,Boniface,O2 Academy Brixton,London
2019,07-12-2019,A Void,The Monarch,London
2019,07-12-2019,Nuha Ruby Ra,Studio 9294,London
2019,07-12-2019,The New Power Generation,O2 Shepherd's Bush Empire,London
2019,07-12-2019,Pet Slimmers of the Year,Nambucca,London
2019,07-12-2019,Flies Are Spies From Hell,Nambucca,London
2019,07-12-2019,Hundred Year Old Man,Nambucca,London
2019,07-12-2019,Ride,Sky Studios,Isleworth
2019,07-12-2019,Larry Campbell & Teresa Williams,Garde Arts Center,New London
2019,07-12-2019,Dagger Threat,New River Studios,London
2019,07-12-2019,The McCartney Years,Aeolian Hall,London
2019,07-12-2019,Phantom Isle,Trinity Bar,Harrow
2019,07-12-2019,Els Pets,The Garage,London
2019,07-12-2019,Weekend Recovery,The Monarch,London
2019,07-12-2019,The Kut,The Monarch,London
2019,07-12-2019,Sodomized Cadaver,New Cross Inn,London
2019,07-12-2019,Sad Boys Club,Colours Hoxton,London
2019,07-12-2019,IDLES,Alexandra Palace,London
2019,07-12-2019,We Are Scientists,Roundhouse,London
2019,07-12-2019,Giant Swan,Alexandra Palace,London
2019,07-12-2019,Grave Miasma,Redon,London
2019,07-12-2019,Prostitute Disfigurement,New Cross Inn,London
2019,07-12-2019,KANDARIVAS,New Cross Inn,London
2019,07-12-2019,Embrace,Alexandra Palace Theatre,London
2019,07-12-2019,Mass Worship,New River Studios,London
2019,07-12-2019,Maria Somerville,Cafe OTO,London
2019,07-12-2019,Dygora,New Cross Inn,London
2019,07-12-2019,Abhorrent Decimation,New Cross Inn,London
2019,07-12-2019,Total Consumption,New Cross Inn,London
2019,07-12-2019,Spectral Voice,Redon,London
2019,07-12-2019,Amyl and the Sniffers,Studio 9294,London
2019,07-12-2019,Brutality Will Prevail,New River Studios,London
